var_0000,var_0001,var_0002,var_0003,var_0004,var_0005,var_0006,var_0007,var_0008,var_0009,is_anomaly,__autogenerated_time,_OUTLIER,__REL_SUBSPACES
0.89646,-0.014513299999999998,0.549697,-0.00195451,0.0841786,0.34414,-0.00584382,0.9516450000000001,0.467879,-0.00217769,0.0,0.0,0.0,-
0.00231321,0.878067,0.21693,0.843411,0.00601278,0.808984,-0.00302478,0.779265,-0.00316746,0.797904,0.0,1.0,0.0,-
0.370715,0.0037899,0.013535499999999999,0.00130353,0.5609029999999999,0.756421,0.6085109999999999,0.0212322,0.00640391,0.909958,0.0,2.0,0.0,-
0.509274,0.00777937,0.416666,-0.00548536,0.23135799999999998,0.9528530000000001,0.277023,0.00706791,0.137691,-0.0174361,0.0,3.0,0.0,-
0.00436922,0.4954,0.323073,0.500783,-0.00103773,0.647913,0.757784,-1.0438E-4,0.00117004,0.9658040000000001,0.0,4.0,0.0,-
0.0103649,0.5161140000000001,-0.00703716,9.58E-5,0.613606,0.856167,0.00500906,0.41011499999999995,0.00916042,0.8956719999999999,0.0,5.0,0.0,-
-0.00484737,0.8964479999999999,0.869582,0.0125471,0.0227581,0.957839,0.631365,-0.00656765,0.941484,-0.010073499999999999,0.0,6.0,0.0,-
0.0124534,-0.00448553,0.0106611,0.46953100000000003,0.061296699999999996,0.452403,-0.010547299999999999,0.558779,0.863604,4.5295199999999996E-4,0.0,7.0,0.0,-
0.0949488,-0.0350452,0.184889,0.80886,0.00288161,0.474394,0.00404343,0.0793053,0.926059,-0.00182295,0.0,8.0,0.0,-
-0.00194791,0.60037,0.043259,0.916545,0.554231,0.00140729,0.00796546,0.21116300000000002,0.0101587,0.431224,0.0,9.0,0.0,-
0.404663,-0.00282069,0.18759,0.271417,-0.00420437,0.578098,0.00857744,0.771918,-6.19206E-4,0.318801,0.0,10.0,0.0,-
-0.00708825,0.843197,0.608367,0.00461353,0.0952158,0.741679,0.00660719,0.654274,0.013582499999999999,0.776804,0.0,11.0,0.0,-
-0.00293426,0.865189,-0.028401599999999996,0.11105999999999999,0.015225399999999998,0.6445310000000001,-0.0109556,0.949573,-0.00254659,0.00516111,0.0,12.0,0.0,-
0.0442477,0.00621866,0.0846857,0.00535673,0.546243,0.9248149999999999,0.00592055,0.697175,-0.00227527,0.671058,0.0,13.0,0.0,-
0.517139,-0.0116766,0.563431,0.280663,0.8080930000000001,-0.018703900000000002,0.011566400000000001,0.253398,0.296798,0.00809004,0.0,14.0,0.0,-
0.28727199999999997,0.00277129,0.127716,-0.011342,0.398466,0.7688050000000001,-0.024422299999999997,0.98634,0.00358978,0.321251,0.0,15.0,0.0,-
0.017896799999999997,0.9347540000000001,0.9249149999999999,0.00547986,0.00559795,0.611116,-0.013447200000000001,0.547809,-0.00451587,0.0605001,0.0,16.0,0.0,-
-1.7863E-4,0.480496,0.426501,-0.00254701,0.682614,0.9506620000000001,0.0348815,-0.004947999999999999,0.106315,-0.0117552,0.0,17.0,0.0,-
0.00162811,0.683609,0.987408,0.27671399999999996,0.596432,-0.0121873,0.845233,-0.00310355,0.9287799999999999,-1.13215E-4,0.0,18.0,0.0,-
0.252629,0.00695727,0.0198269,0.06793719999999999,0.166072,0.9175190000000001,-0.00845034,0.331867,0.369131,0.00183627,0.0,19.0,0.0,-
0.386952,-0.00600182,0.0219534,0.966025,0.618027,0.392768,0.014034799999999998,0.186892,0.0968886,-0.00738164,0.0,20.0,0.0,-
0.161313,-0.003803,0.00817905,0.16459400000000002,0.09803610000000001,0.739758,0.00344778,0.74216,0.656924,-0.00613486,0.0,21.0,0.0,-
0.00737936,0.11303599999999998,0.00280912,0.6406430000000001,0.277385,0.48395900000000003,0.467017,-0.00299037,0.0201651,0.014200999999999998,0.0,22.0,0.0,-
0.286708,-6.667180000000001E-4,0.506949,0.0848536,0.126385,-9.89215E-4,0.2037,-0.00508333,0.555553,0.00234649,0.0,23.0,0.0,-
-0.008339,0.916652,0.24524899999999997,0.749965,-0.00470422,0.8885930000000001,0.05297140000000001,0.00329274,0.0408527,-0.018556599999999996,0.0,24.0,0.0,-
0.361501,-0.0166804,-0.00918975,0.235172,0.6530050000000001,0.0476468,0.0837586,-0.0167218,-5.23515E-4,0.926695,0.0,25.0,0.0,-
0.00840906,0.399121,0.14613800000000002,0.38349,-0.00807543,0.14469,0.396074,-9.69143E-4,0.866542,-0.00570035,0.0,26.0,0.0,-
0.46423100000000006,-0.0139152,0.8670770000000001,0.00437909,0.16478099999999998,0.16608,-0.0152172,0.5868220000000001,0.0030396,0.15403499999999998,0.0,27.0,0.0,-
-0.0083937,0.106627,0.895824,0.0123965,0.293145,0.788269,-0.0105338,0.36588200000000004,0.44687299999999996,-0.0153678,0.0,28.0,0.0,-
-0.00704195,0.654383,0.45457299999999995,0.00336701,0.298039,0.737121,0.140132,-0.00540086,0.0141866,0.335538,0.0,29.0,0.0,-
0.98735,0.018047999999999998,0.00975752,0.219385,0.803467,0.0320948,-0.010851000000000001,0.320269,-0.0028183,0.99885,0.0,30.0,0.0,-
0.523349,-0.0154189,0.893798,0.0763251,0.08722200000000001,-0.0019171,0.00337845,0.440155,0.0845017,0.0218058,0.0,31.0,0.0,-
